,iupac,smiles,expt,calc,xyz
10,dibromomethane,C(Br)Br,-1.96,-0.405,"5

C          1.07707        0.03129       -0.07273
Br         0.37081       -1.52101       -0.98353
Br         3.00934        0.08817       -0.03935
H          0.71878        0.01395        0.95808
H          0.71878        0.92268       -0.59069
"
11,2-methylpentan-3-ol,CC[C@H](C(C)C)O,-3.88,-2.416,"21

C          1.30814        1.24759        1.94993
C          2.60281        0.55147        2.34512
C          3.07784       -0.47382        1.30329
H          2.77374       -0.14638        0.30123
C          2.58461       -1.91969        1.54981
C          3.12021       -2.50777        2.86159
C          1.06159       -2.02500        1.51329
O          4.51079       -0.47039        1.30384
H          0.97308        1.89924        2.76217
H          0.49664        0.54852        1.74092
H          1.45754        1.85772        1.05491
H          2.45856        0.08016        3.32176
H          3.37501        1.31383        2.50377
H          2.98342       -2.54733        0.74083
H          2.76511       -1.95375        3.73533
H          4.21453       -2.50096        2.88078
H          2.78995       -3.54400        2.98368
H          0.60566       -1.49360        2.35405
H          0.73608       -3.06689        1.58514
H          0.66570       -1.61185        0.57927
H          4.80593       -1.06154        0.59384
"
12,2-ethylpyridine,CCc1ccccn1,-4.33,-3.31,"17

C          0.95123       -0.05065        0.04051
C          2.47712       -0.00782        0.01327
C          2.94262        1.09077       -0.91034
C          2.83016        2.41776       -0.49650
C          2.94833        3.42413       -1.44919
C          3.26457        3.08913       -2.75585
C          3.48449        1.75386       -3.05481
N          3.30098        0.74765       -2.16831
H          0.59690       -0.82510        0.72651
H          0.54439       -0.26176       -0.95512
H          0.52957        0.90647        0.36986
H          2.86565       -0.97552       -0.32448
H          2.86619        0.16350        1.02302
H          2.59397        2.65752        0.53269
H          2.77005        4.45871       -1.16942
H          3.34398        3.84929       -3.52561
H          3.80754        1.44946       -4.04433
"
13,ethyl pentanoate,CCCCC(=O)OCC,-2.49,-3.11,"23

C          0.93372       -0.06779        0.02784
C          2.45641       -0.06671        0.01819
C          2.98663        0.09243       -1.40468
C          4.51802        0.10055       -1.47724
C          4.97379        0.26145       -2.91587
O          4.21545        0.36853       -3.87320
O          6.33652        0.27226       -3.01251
C          6.81069        0.42337       -4.36354
C          8.32923        0.42571       -4.38443
H          0.55625       -0.18194        1.04842
H          0.53932       -0.89242       -0.57524
H          0.53932        0.86970       -0.37815
H          2.82063       -1.00446        0.45272
H          2.82063        0.75186        0.64916
H          2.59720        1.02538       -1.83237
H          2.59720       -0.72297       -2.02792
H          4.91038       -0.84199       -1.07988
H          4.91038        0.93201       -0.88146
H          6.44460        1.36994       -4.77848
H          6.44460       -0.40813       -4.97735
H          8.72655        1.24445       -3.77646
H          8.70262        0.54018       -5.40785
H          8.72655       -0.50712       -3.97238
"
14,benzenethiol,c1ccc(cc1)S,-2.55,-1.501,"13

C         -1.36679       -0.06859       -0.00917
C         -0.73479        1.17556        0.02372
C          0.66072        1.25081       -0.01797
C          1.42949        0.08552       -0.03106
C          0.78894       -1.15826        0.01836
C         -0.60550       -1.23281       -0.00719
S          3.20738        0.13997       -0.12274
H         -2.45231       -0.12662       -0.03250
H         -1.32883        2.08312        0.07209
H          1.13112        2.23134       -0.04211
H          1.36972       -2.07482        0.06518
H         -1.09439       -2.20475       -0.02683
H          3.33648        1.45210       -0.36467
"
15,"(2Z)-3,7-dimethylocta-2,6-dien-1-ol",CC(=CCC/C(=C\CO)/C)C,-4.78,-2.597,"29

C          1.02522        0.01891       -0.11041
C          2.54035        0.00195       -0.10140
C          3.30319       -0.94355        0.50222
C          2.65324       -2.06099        1.21759
C          3.44231       -3.15419        1.91550
C          2.55557       -4.20993        2.58881
C          1.19892       -4.25539        2.62819
C          0.21200       -3.29164        2.03155
O         -1.11539       -3.70796        2.29086
C          3.33536       -5.30100        3.28714
C          3.22434        1.11903       -0.81374
H          0.56451       -0.81706        0.42427
H          0.64504       -0.02706       -1.13656
H          0.64635        0.93112        0.36279
H          4.38439       -0.89908        0.47525
H          2.05333       -2.55579        0.44963
H          2.05336       -1.57103        1.98860
H          4.09064       -2.69802        2.67354
H          4.09157       -3.64902        1.18308
H          0.73011       -5.07693        3.16838
H          0.31135       -3.24127        0.94444
H          0.31185       -2.30075        2.47897
H         -1.31923       -4.37147        1.61243
H          4.41601       -5.14857        3.19059
H          3.10424       -6.28021        2.85474
H          3.10353       -5.31890        4.35735
H          2.50361        1.81222       -1.25643
H          3.85085        0.71775       -1.61610
H          3.85022        1.67795       -0.11145
"
16,indane,c1ccc2c(c1)CCC2,-1.46,-1.752,"19

C          1.97386        1.08792        0.00005
C          2.23888       -0.28983       -0.00115
C          1.19118       -1.20158       -0.00009
C         -0.10900       -0.72092        0.00023
C         -0.38588        0.64567       -0.00680
C          0.65374        1.56283       -0.00425
C         -1.86237        0.89596       -0.02065
C         -2.47212       -0.52008       -0.01835
C         -1.34130       -1.55244        0.01871
H          2.80603        1.78609        0.00343
H          3.26481       -0.64999       -0.00097
H          1.38062       -2.27066        0.00162
H          0.46773        2.63380       -0.00544
H         -2.16762        1.43784       -0.92216
H         -2.18783        1.45578        0.86230
H         -3.09352       -0.67606       -0.90888
H         -3.13985       -0.65973        0.84075
H         -1.37270       -2.20974       -0.85536
H         -1.37865       -2.14961        0.93501
"
17,ethoxybenzene,CCOc1ccccc1,-2.22,-2.254,"19

C          0.97049        0.08906       -0.02052
C          2.49015        0.09768        0.00969
O          2.92635        1.09247        0.94526
C          4.28878        1.22283        1.03042
C          4.78913        2.52471        1.12464
C          6.16967        2.74615        1.13053
C          7.04955        1.66791        1.14267
C          6.54873        0.36640        1.16940
C          5.17137        0.14597        1.08476
H          0.60018       -0.66147       -0.72603
H          0.57786        1.06869       -0.31022
H          0.56890       -0.13858        0.97248
H          2.87252        0.32971       -0.99213
H          2.82492       -0.90074        0.30729
H          4.10752        3.36772        1.17526
H          6.55731        3.76272        1.12912
H          8.12356        1.83646        1.14712
H          7.22847       -0.47555        1.25625
H          4.81226       -0.87830        1.08836
"
18,4-bromophenol,c1cc(ccc1O)Br,-5.85,-5.833,"13

C         -0.77110        1.16964        0.02517
C          0.62161        1.24376       -0.01120
C          1.37475        0.07249       -0.02206
C          0.74745       -1.17522        0.02168
C         -0.64702       -1.24816       -0.01367
C         -1.39396       -0.07552       -0.02113
O         -2.75508       -0.09537       -0.08810
Br         3.25929        0.16834       -0.13827
H         -1.36848        2.07429        0.06772
H          1.10433        2.21779       -0.04024
H          1.33475       -2.08717        0.06768
H         -1.12675       -2.22303       -0.03661
H         -3.04522       -1.00574       -0.26693
"
19,"2,2-dimethylpentane",CCCC(C)(C)C,2.88,2.686,"23

C          0.99507        0.00528       -0.02455
C          2.51342       -0.02947       -0.02761
C          3.12194        1.37438        0.09599
C          4.67509        1.39961        0.09821
C          5.23103        0.60249        1.28998
C          5.23103        0.82299       -1.21451
C          5.15055        2.85994        0.22678
H          0.60381       -1.01469       -0.11435
H          0.61445        0.59089       -0.86541
H          0.61445        0.43496        0.90570
H          2.84098       -0.50714       -0.95508
H          2.84098       -0.66185        0.80213
H          2.75183        1.84105        1.01822
H          2.75183        1.99502       -0.73051
H          4.96678       -0.45836        1.23170
H          4.84512        0.99317        2.23782
H          6.32492        0.65600        1.32648
H          4.96678       -0.23172       -1.34249
H          6.32492        0.88205       -1.24109
H          4.84512        1.37329       -2.07950
H          4.79126        3.31564        1.15566
H          4.79126        3.47093       -0.60817
H          6.24617        2.91759        0.23186
"
20,2-acetoxyethyl acetate,CC(=O)OCCOC(=O)C,-6.34,-8.292,"20

C          1.04356       -0.07626        0.03793
C          2.54821       -0.02688        0.08234
O          3.17278        0.75786        0.78812
O          3.11957       -0.95029       -0.74815
C          4.56820       -0.94936       -0.74732
C          5.12466       -2.01559       -1.70626
O          6.57310       -2.01419       -1.70500
C          7.14633       -2.93641       -2.53442
O          6.52289       -3.72161       -3.24062
C          8.65193       -2.89516       -2.49732
H          0.63946        0.68212        0.72001
H          0.67602       -1.04971        0.37196
H          0.67602        0.15305       -0.96536
H          4.93202       -1.14853        0.26790
H          4.93202        0.03913       -1.05263
H          4.76122       -1.81631       -2.72152
H          4.76122       -3.00411       -1.40083
H          9.02200       -2.13054       -1.80964
H          9.03707       -2.67274       -3.49775
H          9.03707       -3.86648       -2.17045
"
21,ethion,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1,-10.644,"41

C          1.01584        0.06626       -0.04157
C          2.50888        0.20309       -0.27231
O          3.03264        1.22794        0.59789
P          4.76264        1.22794        0.59789
S          4.45847        3.15670        1.04371
O          4.70306        0.20550        1.94629
C          3.48259       -0.19198        2.58443
C          3.61317       -1.35948        3.53861
S          6.88264        1.22794        0.59789
C          7.55838        2.77921        0.26626
S          9.29596        2.93443        0.59789
P         10.00262        4.93319        0.59789
S          9.59850        5.12580       -1.37496
O          8.85792        5.65195        1.64041
C          7.71091        4.98486        1.94856
C          6.50529        5.40563        2.76364
O         10.57928        6.56425        0.59789
C         12.00621        6.60026        0.61624
C         12.49437        8.02982        0.60852
H          0.64696       -0.89455       -0.41487
H          0.48600        0.86832       -0.56074
H          0.75872        0.14611        1.02087
H          2.74489        0.43155       -1.31364
H          3.00105       -0.75538       -0.05576
H          2.78816       -0.60999        1.86629
H          3.00932        0.66924        3.06303
H          4.11225       -2.20529        3.05478
H          2.60545       -1.69254        3.82580
H          4.16160       -1.08885        4.43916
H          7.06165        3.16181        1.12387
H          7.20095        3.25214       -0.64748
H          8.05406        4.09666        2.49255
H          7.25472        4.88656        0.96630
H          6.73929        5.89346        3.69388
H          5.96917        4.47451        3.00322
H          5.82420        5.99533        2.14537
H         12.39664        6.07174       -0.26007
H         12.35934        6.08264        1.51438
H         12.12780        8.55827       -0.27677
H         13.58833        8.05954        0.60891
H         12.12596        8.56834        1.48654
"
22,cycloheptanol,C1CCCC(CC1)O,-5.48,-4.345,"22

C         -1.52824        0.75291        0.11805
C         -1.52950       -0.75384       -0.12709
C         -0.30365       -1.48276        0.42611
C          0.94553       -1.23070       -0.42245
C          1.75274       -0.00220        0.00374
C          0.93612        1.21720        0.43432
C         -0.29657        1.47605       -0.42894
O          2.62228       -0.36373        1.08055
H         -1.62238        0.94474        1.19462
H         -2.42513        1.17964       -0.34674
H         -1.62031       -0.94596       -1.20368
H         -2.42925       -1.17736        0.33531
H         -0.51644       -2.55818        0.41221
H         -0.13662       -1.21461        1.47590
H          0.65687       -1.12670       -1.47631
H          1.59035       -2.11614       -0.36534
H          2.40381        0.28293       -0.83026
H          1.59498        2.09438        0.39945
H          0.65089        1.13180        1.49132
H         -0.11573        1.20166       -1.47513
H         -0.50467        2.55241       -0.42219
H          2.07330       -0.67266        1.81670
"
23,methyl cyclopropanecarboxylate,COC(=O)C1CC1,-4.1,-3.604,"15

C          1.13585        0.10367        0.03790
O          2.56840        0.11272        0.03766
C          3.11252        0.99539        0.91955
O          2.48361        1.74222        1.65784
C          4.60297        0.97549        0.88937
C          5.37363        2.16408        0.35145
C          5.38578        1.87926        1.82431
H          0.79299       -0.62724       -0.70109
H          0.74056        1.08511       -0.24490
H          0.75107       -0.19737        1.01811
H          5.02677       -0.00573        0.69361
H          4.81816        3.03169        0.01204
H          6.28721        1.99052       -0.20717
H          4.83445        2.55527        2.47104
H          6.29746        1.50535        2.27570
"
24,benzonitrile,c1ccc(cc1)C#N,-4.1,-3.238,"13

C         -1.36610       -0.07400       -0.02495
C         -0.73611        1.16696        0.04984
C          0.65556        1.24677       -0.02520
C          1.42454        0.07905       -0.03571
C          0.78902       -1.16407        0.04884
C         -0.60385       -1.24066       -0.02089
C          2.84767        0.16018       -0.17176
N          4.00061        0.23625       -0.31768
H         -2.45104       -0.13272       -0.07636
H         -1.32902        2.07245        0.14965
H          1.13392        2.22258       -0.07829
H          1.37046       -2.07776        0.15070
H         -1.09629       -2.20898       -0.06867
"
25,pentanenitrile,CCCCC#N,-3.52,-2.147,"15

C          1.03356        0.03580        0.04380
C          2.55252        0.04641        0.04910
C          3.08765        1.32499        0.68773
C          4.61084        1.33708        0.69376
C          5.11750        2.61912        1.33412
N          5.53782        3.68268        1.86535
H          0.66252       -0.88540       -0.41632
H          0.63963        0.88435       -0.52396
H          0.63963        0.09157        1.06324
H          2.92006       -0.03845       -0.97988
H          2.92006       -0.82723        0.59933
H          2.71203        1.41235        1.71516
H          2.71203        2.19890        0.14043
H          5.00194        1.27437       -0.32785
H          5.00194        0.48263        1.25728
"
26,2-methylpropan-2-ol,CC(C)(C)O,-4.47,-3.288,"15

C          0.91713        0.05050        0.06368
C          2.44457        0.04205        0.03652
C          2.96929       -1.32804       -0.38942
C          2.96701        1.12796       -0.90109
O          2.92861        0.33146        1.34828
H          0.49880       -0.15463       -0.92721
H          0.53779        1.01931        0.40768
H          0.53319       -0.70022        0.76359
H          2.63330       -1.58847       -1.39849
H          2.63092       -2.10937        0.30042
H          4.06473       -1.34992       -0.37105
H          2.63033        0.96497       -1.93008
H          4.06261        1.15638       -0.89464
H          2.62916        2.11930       -0.57814
H          2.59907       -0.35690        1.95005
"
27,"2,4-dimethylpentan-3-one",CC(C)C(=O)C(C)C,-2.74,-2.629,"22

C          1.05179       -0.01750       -0.03574
C          2.58471       -0.07689       -0.01632
C          2.98179       -0.88721        1.21055
C          3.09522       -0.66832       -1.34179
O          2.29083       -0.98635       -2.22855
C          4.60793       -0.74247       -1.61291
C          5.35686       -1.66854       -0.66369
C          4.85107       -1.26734       -3.03387
H          0.66213        0.39205        0.90197
H          0.62955       -1.02214       -0.16324
H          0.68452        0.60543       -0.85708
H          2.97199        0.94606        0.06466
H          2.76308       -1.95048        1.06506
H          2.45818       -0.54028        2.10642
H          4.03532       -0.77594        1.45245
H          5.01040        0.27549       -1.54391
H          4.85404       -2.63834       -0.58499
H          5.45596       -1.24329        0.33138
H          6.38696       -1.83272       -0.99391
H          4.41857       -2.26861       -3.15329
H          5.92230       -1.33838       -3.24900
H          4.39604       -0.61554       -3.78596
"
28,propanal,CCC=O,-3.43,-3.148,"10

C          0.92850       -0.03505       -0.05144
C          2.44524       -0.03706       -0.05406
C          2.98763       -0.89183       -1.16875
O          4.19019       -1.04278       -1.36560
H          0.54847        0.58934        0.76281
H          0.53525       -1.04865        0.08000
H          0.53525        0.35484       -0.99624
H          2.81798       -0.43290        0.89568
H          2.81798        0.98285       -0.18995
H          2.24746       -1.38966       -1.81796
"
29,"N,N-dimethylformamide",CN(C)C=O,-7.81,-6.932,"12

C          0.97812       -0.05482       -0.07532
N          2.42685       -0.04371       -0.07303
C          3.13723        1.19207        0.18240
C          3.15314       -1.19268       -0.31052
O          4.37594       -1.26873       -0.32624
H          0.57717        0.94104        0.13051
H          0.62506       -0.75441        0.68799
H          0.62506       -0.39446       -1.05345
H          2.44349        2.01851        0.35322
H          3.77233        1.42020       -0.67883
H          3.77233        1.06007        1.06350
H          2.51643       -2.07420       -0.49272
"
30,p-xylene,Cc1ccc(cc1)C,-0.8,-0.658,"18

C          1.06961       -0.07023        0.04677
C          2.56871       -0.04281        0.03134
C          3.25999        1.17435        0.01711
C          4.64305        1.19385       -0.17243
C          5.36242        0.00182       -0.27919
C          4.68584       -1.21667       -0.13823
C          3.29381       -1.23631       -0.02304
C          6.83004        0.01528       -0.58598
H          0.65072        0.93959        0.10537
H          0.70215       -0.64313        0.90266
H          0.70124       -0.52635       -0.87910
H          2.72539        2.11384        0.12034
H          5.14950        2.15319       -0.26077
H          5.23418       -2.15422       -0.15310
H          2.77649       -2.19402       -0.00072
H          7.19456        1.03665       -0.74017
H          7.01827       -0.54019       -1.51152
H          7.40164       -0.43459        0.22996
"
31,"penta-1,4-diene",C=CCC=C,0.93,2.357,"13

C          0.96294       -0.09056        0.02677
C          2.30303       -0.07114        0.03267
C          3.09297        1.15174        0.40382
C          4.57766        0.93161        0.33701
C          5.46392        1.89366        0.62900
H          0.41974       -0.98951       -0.24607
H          0.38392        0.78827        0.29351
H          2.83549       -0.97827       -0.24265
H          2.82515        1.44930        1.42513
H          2.82515        1.96676       -0.27981
H          4.95219       -0.04514        0.04056
H          5.14211        2.88588        0.93015
H          6.53096        1.70457        0.57161
"
32,"2-(2,3-dimethylphenyl)aminobenzoic acid",Cc1cccc(c1C)Nc2ccccc2C(=O)O,-6.78,-7.665,"33

C          1.07024        0.13938        0.09122
C          2.55753        0.12078        0.33500
C          3.31052        1.27716        0.12100
C          4.67631        1.27352        0.37649
C          5.34490        0.05601        0.49004
C          4.62156       -1.15064        0.54322
C          3.21008       -1.08314        0.68451
C          2.34458       -2.27447        1.03114
N          5.29558       -2.32291        0.07754
C          4.76241       -3.54218       -0.42448
C          5.31942       -4.74741        0.07257
C          4.71063       -5.98634       -0.16417
C          3.43937       -6.02450       -0.71564
C          2.84436       -4.84103       -1.13769
C          3.56242       -3.62898       -1.16963
C          2.88059       -2.50936       -1.91489
O          1.70401       -2.59799       -2.27999
O          3.60874       -1.42202       -2.21818
H          0.69594        1.15192       -0.07928
H          0.55087       -0.26293        0.96456
H          0.80998       -0.46240       -0.78800
H          2.83622        2.18421       -0.24800
H          5.22184        2.21243        0.39745
H          6.43133        0.06517        0.42208
H          2.93635       -3.15724        1.27175
H          1.66141       -2.50976        0.20978
H          1.71149       -2.09377        1.89824
H          6.30157       -2.33479        0.23100
H          6.20046       -4.73556        0.71341
H          5.18649       -6.91301        0.14976
H          2.90077       -6.96396       -0.81255
H          1.78688       -4.84952       -1.40386
H          4.37502       -1.30159       -1.62426
"
33,"N,N-dimethylbenzamide",CN(C)C(=O)c1ccccc1,-9.29,-8.113,"22

C          0.98158        0.11481       -0.00850
N          2.43787        0.09719        0.03897
C          3.03067       -0.86256        0.95690
C          3.14209        0.92445       -0.86002
O          2.54218        1.63518       -1.67671
C          4.64946        0.94089       -0.90181
C          5.31170        1.22388       -2.10771
C          6.70256        1.05686       -2.21275
C          7.45642        0.70024       -1.09607
C          6.83105        0.58115        0.13478
C          5.44459        0.70333        0.22288
H          0.55658       -0.56928        0.73390
H          0.64106       -0.19504       -1.00110
H          0.62158        1.12460        0.20373
H          2.27882       -1.50492        1.42080
H          3.48919       -0.31647        1.78134
H          3.75647       -1.48470        0.42829
H          4.75471        1.57011       -2.97738
H          7.20202        1.20076       -3.16802
H          8.52938        0.54619       -1.17319
H          7.40659        0.39270        1.03695
H          5.02146        0.62591        1.21017
"
34,N-ethylethanamine,CCNCC,-4.07,-2.986,"16

C          0.99076        0.09936        0.00860
C          2.51106        0.09664        0.00165
N          3.01494        0.41715        1.33576
C          4.47650        0.41889        1.35356
C          4.97630        0.75281        2.75001
H          0.61043       -0.13633       -0.99055
H          0.59813        1.08048        0.29637
H          0.59489       -0.64745        0.70499
H          2.86402        0.83782       -0.72421
H          2.86704       -0.88996       -0.31659
H          2.66390       -0.26387        2.00845
H          4.86253        1.16549        0.65044
H          4.86539       -0.56232        1.05795
H          4.62877        1.74132        3.06881
H          6.07093        0.75895        2.76540
H          4.63284        0.01459        3.48245
"
35,4-tert-butylphenol,CC(C)(C)c1ccc(cc1)O,-5.91,-5.543,"25

C          0.91397        0.01989        0.02729
C          2.45956        0.01264        0.01618
C          2.93572        1.39496       -0.47958
C          2.96401       -0.15905        1.46429
C          2.91277       -1.14242       -0.89242
C          3.36831       -0.92276       -2.20729
C          3.51486       -1.98292       -3.10552
C          3.30270       -3.28113       -2.67422
C          2.98959       -3.54206       -1.34742
C          2.76306       -2.47657       -0.47491
O          3.36857       -4.33782       -3.53114
H          0.52402        0.83200        0.65116
H          0.50510       -0.91876        0.41998
H          0.50944        0.15261       -0.98366
H          2.58707        2.19799        0.17904
H          2.54975        1.62409       -1.47988
H          4.03018        1.44483       -0.51829
H          2.62541        0.66939        2.09794
H          4.05851       -0.18676        1.50135
H          2.59260       -1.07658        1.93239
H          3.58020        0.07528       -2.57616
H          3.77722       -1.76459       -4.13747
H          2.87639       -4.56359       -1.00369
H          2.42125       -2.71405        0.53030
H          3.41627       -3.98824       -4.43696
"
